NOTA_VENTA,PRODUCTO,DESCRIPCION,PROCESO,ESTADO
14006,TRO179007300005DBE,"CAJA 470*385*130 DBE TRO.",TROQUELADO,LISTA
14006,TRO179007300005DBE,"CAJA 470*385*130 DBE TRO.",OTRO,LISTA
14007,TRO179007300005DBE,"CAJA 470*385*130 DBE TRO.",PEGADO,LISTA
14007,TRO179007300005DBE,"CAJA 470*385*130 DBE TRO.",IMPRESION,LISTA
14007,TRO179007300005DBE,"CAJA 470*385*130 DBE TRO.",TROQUELADO,LISTA
14007,TRO179007300005DBE,"CAJA 470*385*130 DBE TRO.",OTRO,LISTA
14008,CAJ060002500200C20,"CAJA 600*250*200 C20 NO.",CALADO,LISTA
14008,CAJ060002500200C20,"CAJA 600*250*200 C20 NO.",PEGADO,LISTA
14008,CAJ060002500200C20,"CAJA 600*250*200 C20 NO.",TROZADO,LISTA
14008,CAJ060002500200C20,"CAJA 600*250*200 C20 NO.",OTRO,LISTA
14008,CAJ060002500200C20,"CAJA 600*250*200 C20 NO.",IMPRESION,LISTA
14008,CAJ060002500200C20,"CAJA 600*250*200 C20 NO.",PLIZADO,LISTA
14009,CAJ023002300235D92,"CAJA 230*230*235 D92 NO",PLIZADO,LISTA
14009,CAJ023002300235D92,"CAJA 230*230*235 D92 NO",PEGADO,LISTA
14009,CAJ023002300235D92,"CAJA 230*230*235 D92 NO",TROZADO,LISTA
